hsn_code,description
2702.20.00,Agglomerated lignite
2703,"Peat (including peat litter), whether or not agglomerated."
2703.00,"Peat (including peat litter), whether or not agglomerated."
2703.00.10,Peat whether or not compressed into bales but not agglomerated
2703.00.90,Other
2704.00.10,Retort carbon (gas carbon)
2704.00.20,Coke and semi-coke of lignite or of peat
2704.00.30,Hard coke of coal
2704.00.40,Soft coke of coal
2704.00.90,Other
2706,"tars, whether or not dehydrated or partially distilled, including"
2706.00,"tars, whether or not dehydrated or partially distilled, including"
2706.00.10,Coal tar
2706.00.90,Other
2707,tar; similar products in which the weight of the aromatic
2707.10.00,Benzole (benzene)
2707.20.00,Toluole (toluene)
2707.30.00,Xylole (xylenes)
2707.40.00,Naphthelene
2707.50.00,10% - ”; by volume (including losses) distils at 250 °C by the ISO
2707.91.00,Creosote oils
2707.99.00,Other
2708.10,Pitch
2708.10.10,Obtained by blending with creosote oil or other coal tar distillates
2708.10.90,Other
2708.20.00,Pitch coke
2709.00.00,"Petroleum oils and oils obtained from bituminous minerals, crude."
2710,containing by weight 70% or more of petroleum oils or of oils
2710.12,Light oils and Preparations
2710.12,11
271012,12
271012,13
27101219,Other
2710.12.20,Natural gasoline liquid( NGL)
2710.12.90,Other
2710.19,Other
2710.19.10,Superior kerosene Oil(SKO)
2710.19.20,Aviation turbine fuel(ATF)
2710.19.30,High speed diesel (HSD)
2710.19.40,Light diesel oil(LDO)
2710.19.50,Fuel oil
2710.19.60,Base oil
2710.19.70,Jute batching oil and textile oil
2710.19.80,Lubricating oil
2710.19.90,Other
27102000,by weight 70% or more of petroleum oils or of oils obtained from
2710.99.00,Other
2711,Petroleum gases and other gaseous hydrocarbons.
2711.11.00,Natural gas
2711.12.00,Propane
2711.13.00,Butanes
2711.14.00,"Ethylene, propylene, butylene and butadiene"
2711.19.00,Other
2711.21.00,Natural gas
2711.29.00,Other
2712.10,petroleum Jelly
2712.10.10,Crude
2712.10.90,Other
2712.2000,- Paraffin wax containing by weight less than 0.75% of oil
2712.90,Other
2712.90.10,Micro-CrystallinePetroleum wax
2712.90.20,Lignite wax
2712.90.30,Slack wax
2712.90.40,Paraffin wax containing by weight less than 0.75% of oil:
2712.90.90,Other
2713.11.00,Not calcined
2713.12.00,Calcined
2713.20.00,Petroleum bitumen
2714.10.00,Bituminous or oil shale and tar sands
2714.90,Other
2714.90.10,"Asphalt, natural"
2714.90.20,"Bitumen, natural"
2714.90.30,Gilsonete
2714.90.90,Other
2715,"on petroleum bitumen, on mineral tar or on mineral tar pitch (for"
2715.00,"on petroleum bitumen, on mineral tar or on mineral tar pitch (for"
2715.00.10,"Cut back, bituminous or asphalt"
2715.00.90,Other
2716.00.00,Electrical Energy
2801,"Fluorine, chlorine, bromine and iodine."
2801.10.00,Chlorine
2801.20.00,Iodine
2801.30,- Fluorine; bromine
2801.30.10,Fluorine
2801.30.20,Bromine
2802,"Sulphur, sublimed or precipitated; colloidal sulphur."
2802.00,"Sulphur, sublimed or precipitated; colloidal sulphur."
2802.00.10,Sublimed sulphur
2802.00.20,Precipitated sulphur
2802.00.30,Colloidal sulphur
2803.00.10,Carbon black
2803.00.20,Acetylene black
2803.00.90,Other
2804,"Hydrogen, rare gases and other non-metals."
2804.10.00,Hydrogen
2804.21.00,Argon
2804.29,Other
2804.29.10,Helium
2804.29.90,Other
2804.30.00,Nitrogen
2804.40,Oxygen
2804.40.10,Medicinal grade
2804.40.90,Other
2804.50,- Boron; tellurium
2804.50.10,Boron
2804.50.20,Tellurium
2804.61.00,Containing by weight not less than 99.99% of silicon
2804.69.00,Other
2804.70,Phosphorus
2804.70.10,"Phosphorus, black"
2804.70.20,"Phosphorus, red"
2804.70.30,"Phosphorus, white or yellow"
2804.80.00,Arsenic
2804.90.00,Selenium
2805.11.00,Sodium
2805.12.00,Calcium
2805.19.00,Other
2805.40.00,Mercury
2806,Hydrogen chloride (hydrochloric acid); chlorosulphuric acid.
2806.10.00,Hydrogen chloride (hydrochloric acid)
2806.20.00,Chlorosulphuric acid
2807,Sulphuric acid; oleum.
2807.00,Sulphuric acid; oleum.
2807.00.10,Sulphurc acid
2807.00.20,Oleum
2808,Nitric acid; sulphonitric acids.
2808.00,Nitric acid; sulphonitric acids.
2808.00.10,Nitric acid
2808.00.20,Sulphonitric acids
2809.10.00,Diphosphorus pentaoxide
2809.20,Phosphoric acid and polyphosphoric acids
2809.20.10,Phosporic acid
2809.20.20,Polyphosphoric acids
2810,Oxides of boron; boric acids.
2810.00.10,Oxides of boron
2810.00.20,Boric acids
2811.11,Hydrogen fluoride (hydrofluoric acid)
2811.11.00,Hydrogen fluoride (hydrofluoric acid)
28111200,Hydrogen cyanide (hydrocyanic acid
2811.19,Other
2811.19.10,"Hydrocyanic acid (hydrogen cyanide, prussic acid)"
2811.19.20,Hypophosphorus acid (phosphinic acid))
2811.19.30,Acids of arsenic
2811.19.40,Sulphonic acid
2811.19.90,Other <br> Other inorganic oxygen compounds of non-metals:
2811.21,Carbon dioxide
2811.21.10,Dry ice
2811.21.90,Other
2811.22.00,Silicon dioxide
2811.29,Other
2811.29.10,Arsenic pentoxide
2811.29.20,Arsenic trioxide
2811.29.30,Nitrous oxide
2811.29.40,Carbon monoxide
2811.29.50,Sulphur trioxide (sulphuric anhydride)
2811.29.90,Other
2812,Halides and halide oxides of non-metals.
28121100,Carbonyl dichloride (phosgene)
28121200,Phosphorous oxychloride
28121300,Phosphorous trichloride
28121400,Phosphorous pentachloride
28121500,Sulphur monochloride
28121600,Sulphur dichloride
28121700,Thionyl chloride
281219,Other:
28121910,Sulpur oxychloride
28121920,Silicon tetrachloride
28121930,Arsenous trichloride
28121990,Other
28129000,Other
2813,Sulphides of non-metals; commercial phosphorus trisulphide.
2813.10.00,Carbon disulphide
2813.90,Other
2813.90.10,Arsenic disulphide (artificial)
2813.90.20,Commercial phosphorus trisulphide
2813.90.90,Other
2814,"Ammonia, anhydrous or in aqueous solution."
2814.10.00,Anhydrous ammonia
2814.20.00,Ammonia in aqueous solution
2815.11,solid
2815.11.10,Flakes
2815.11.90,Other
2815.12.00,In aqueous solution(soda lye or liquid soda)
2815.20.00,Potassium hydroxide (caustic potash)
2815.30.00,Peroxides of sodium or potassium
2816.10,hydroxide and peroxide of magnesium
2816.10.10,Hydroxide of magnesium
2816.10.20,Peroxide of magnesium
2816.40.00,"Oxides, hydroxides and peroxides, of strontium or barium"
2817,Zinc oxide; zinc peroxide.
2817.00,Zinc oxide; zinc peroxide.
2817.00.10,Zinc oxide
2817.00.20,Zinc peroxide
2818.10.00,"Artificial corundum, whether or not chemically defined"
2818.20,"aluminium oxide, Other than artificial corundum"
2818.20.10,"Alumina, calcined"
2818.20.90,Other
2818.30.00,Aluminium hydroxide
2819,Chromium oxides and hydroxides.
2819.10.00,Chromium trioxide
2819.90.00,Other
2820,Manganese oxides.
2820.10.00,Manganese dioxide
2820.90.00,Other
2821.10,iron oxides and hydroxides
2821.10.10,Iron oxides
2821.10.20,Iron hydroxides
2821.20.00,Earth colours
2822,Cobalt oxides and hydroxides; commercial cobalt oxides.
2822.00,Cobalt oxides and hydroxides; commercial cobalt oxides.
2822.00.10,Cobalt oxides
2822.00.20,Cobalt hydroxides
2822.00.30,Commercial cobalt oxides
2823,Titanium oxides.
2823.00,Titanium oxides.
2823.00.10,Titanium dioxide
2823.00.90,Other
2824,Lead oxides; red lead and orange lead.
2824.10,"lead monoxide (litharge, massicot)"
2824.10.10,Litharge
2824.10.20,Massicot
2824.90.00,Other
2825.10,Hydrazine and hydroxylamine and their inorganic salts
2825.10.10,Hydrazine anhydrous
2825.10.20,Hydrazine hydrate
2825.10.30,Hydrazine sulphate
2825.10.40,Hydroxylamine sulphate
2825.10.90,Other
2825.20.00,Lithium oxide and hydroxide
2825.30,vanadium oxides and hydroxides
2825.30.10,Vanadium pentoxide flakes
2825.30.90,Other
2825.40.00,Nickel oxides and hydroxides
2825.50.00,Copper oxides and hydroxides
2825.60,Germanium oxides and Zirconium dioxide
2825.60.10,Germanium oxides
2825.60.20,Zirconium dioxide
2825.70,molybdenum oxides and hydroxides
2825.70.10,Molybdenum trioxide
2825.70.20,Molybdic acid
2825.70.90,Other
2825.80.00,Antimony oxides
2825.90,Other
2825.90.10,Tin oxide
2825.90.20,Cadmium oxide
2825.90.40,Calcium hydroxide
2825.90.50,Ammonium hydroxide
2825.90.90,Other
2826.12.00,Of aluminium
2826.19,Other
2826.19.10,Magnesium fluoride
2826.19.90,Other
2826.30.00,Sodium hexafluoroaluminate (synthetic cryolite)
2826.90.00,Other
2827.10.00,Ammonium chloride
2827.20.00,Calcium chloride
2827.31.00,Of magnesium
2827.32.00,Of aluminium
2827.35.00,Of nickel
2827.39,Other
2827.39.20,Mercurous chloride
2827.39.30,Strontium chloride
2827.39.40,Cuprous chloride
2827.39.90,Other chlorides
2827.41,of copper
2827.41.10,Copper oxychloride
2827.41.90,Other
2827.49.00,Other
2827.51,Bromides of Sodium or of potassium
2827.51.10,Bromides of sodium
2827.51.20,Bromides of potassium
2827.59,Other
2827.59.10,Magnesium bromide
2827.59.90,Other
2827.60,Iodides and iodide oxides
2827.60.10,Potassium iodide
2827.60.20,Sodium iodide
2827.60.90,Other
2828.10,Commercial Calcium hypochlorite and Other Calcium hypochlorites
2828.10.10,Commercial calcium hypochlorite (Bleaching paste/powder)
2828.10.90,Other
2828.90,Other
2828.90.11,Bleaching paste/Powder
2828.90.19,Other
2828.90.20,Potassium hypochlorites
2828.90.30,Sodium chlorite
2828.90.40,Aluminium chlorite
2828.90.50,Hypobromites
2828.90.60,Bleaching paste/powder of other hypochlorites
2828.90.90,Other
2829.11.00,Of sodium
2829.19,Other
2829.19.10,Barium chlorate
2829.19.20,Potassium chlorate
2829.19.30,Magnesium chlorate
2829.19.90,Other
2829.90,Other
2829.90.10,Perchlorates
2829.90.20,Bromates and perbromates
2829.90.30,Iodates and periodates
2830,"Sulphides; polysulphides, whether or not chemically defined."
2830.10,Sodium sulphides
2830.10.00,Sodium sulphides
2830.90,Other
2830.90.10,Sulphides
2830.90.20,Polysulphides
2831,Dithionites and sulphoxylates.
2831.10,of Sodium
2831.10.10,Sodium dithionites (sodium hydrosulfite)
2831.10.20,Sodium sulphoxylates (including sodium formaldehyde sulphoxylate)
2831.90,Other
2831.90.10,Dithionites
2831.90.20,Sulphoxylates
2832,Sulphites; thiosulphates.
2832.10,Sodium sulphites
2832.10.10,Sodium bi-sulphite
2832.10.20,Sodium hydrosulphites
2832.10.90,Other
2832.20,Other sulphites
2832.20.10,Potassium metabisulphite
2832.20.20,Magnesium sulphite
2832.20.90,Other
2832.30,Thiosulphates
2832.30.10,Sodium thiosulphate (hypo)
2832.30.20,Magnesium thiosulphate
2832.30.90,Other
2833,Sulphates; alums; peroxosulphates (persulphates).
2833.11.00,Disodium sulphate
2833.19,Other
2833.19.10,Sodium hydrogen sulphate (acid sulphate)
2833.19.20,Sodium pyrosulphate
2833.19.90,Other
2833.21.00,Of magnesium
2833.22,of aluminium
2833.22.10,Aluminium sulphate (iron free)
2833.22.90,Other
2833.24.00,Of nickel
2833.25.00,Of copper
2833.27.00,Of barium
2833.29,Other
2833.29.10,Ferrous sulphate
2833.29.30,Quinidine sulphate
2833.29.40,Manganese sulphate
2833.29.50,Strontium sulphate
2833.29.90,Other
2833.30,Alums
2833.30.10,Ammonium alum
2833.30.20,Ferric ammonium alum
2833.30.30,Potash alum
2833.30.90,Other
2833.40.00,Peroxosulphates (persulphates)
2834,Nitrites; nitrates.
2834.10,Nitrites
2834.10.10,Sodium nitrite
2834.10.90,Other
2834.21.00,Of potassium
2834.29,Other
2834.29.10,Strontium nitrate
2834.29.20,Magnesium nitrate
2834.29.30,Barium nitrate
2834.29.90,Other
2835.10,Phosphinates (hypophosphites) and phosphonates (phosphites)
2835.10.10,Calcium hypophosphite
2835.10.20,Magnesium hypophosphite
2835.10.90,Other <br> Phosphates:
2835.22,of mono- or Disodium
2835.22.00,Of mono or disodium
2835.24,of potassium
2835.24.00,Of potassium
2835.25,Calcium hydrogenorthophosphate (“dicalcium phosphate”)
2835.25.00,"Calcium hydrogenorthophosphate (""dicalcium phosphate"")"
2835.26,Other phosphates of Calcium
2835.26.10,Calcium monobasic phosphate
2835.26.20,Calcium tribasic phosphate
2835.26.90,Other
2835.29,Other
2835.29.10,"Magnesium phosphate, monobasic"
2835.29.20,"Magnesium phosphate, dibasic"
2835.29.30,"Magnesium phosphate, tribasic"
2835.29.40,Sodium hexa meta phosphate
2835.29.90,Other
2835.31,Sodium triphosphate (Sodium tripolyphosphate)
2835.31.00,Sodium triphosphate (sodium tripoly phosphate)
2835.39,Other
2835.39.00,Other
2836.20,Disodium carbonate
2836.20.10,"Disodium carbonate, dense"
2836.20.20,"Disodium carbonate, light"
2836.20.90,Other
2836.30,Sodium hydrogencarbonate (Sodium bicarbonate)
2836.30.00,Sodium hydrogencarbonate (sodium bicarbonate)
2836.40,potassium carbonates
2836.40.00,Potassium carbonates
2836.50,Calcium carbonate
2836.50.00,Calcium carbonate
2836.60,barium carbonate
2836.60.00,Barium carbonate <br> Other
2836.91,Lithium carbonates
2836.91.00,Lithium carbonates
2836.92,Strontium carbonate
2836.92.00,Strontium carbonate
2836.99,Other
2836.99.10,Percarbonates
2836.99.20,Magnesium carbonate
2836.99.30,Aluminium bicarbonate
2836.99.90,Other
2837,"Cyanides, cyanide oxides and complex cyanides."
2837.11,of Sodium
2837.11.00,Of sodium
2837.19,Other
2837.19.10,Potassium cyanide
2837.19.20,Double cyanide of potassium and sodium
2837.19.90,Other
2837.20,Complex cyanides
2837.20.10,Ammonium sulphocyanide
2837.20.20,Potassium ferricyanide
2837.20.30,Potassium ferrocyanide
2837.20.40,Sodium ferrocyanide
2837.20.50,Sodium nitroprusside (sodium nitroferricyanide)
2837.20.90,Other
2839,Silicates; commercial alkali metal silicates.
2839.11,Sodium metasilicates
2839.11.00,Sodium metasilicates
2839.19,Other
2839.19.00,Other
2839.90,Other
2839.90.10,Magnesium trisilicate
2839.90.90,Other
2840,Borates; peroxoborates (perborates).
2840.11,Anhydrous
2840.11.00,Anhydrous
2840.19,Other
2840.19.00,Other
2840.20,Other borates
2840.20.10,Magnesium borates
2840.20.90,Other
2840.30,Peroxoborates (perborates)
2840.30.00,Peroxoborates (perborates)
2841,Salts of oxometallic or peroxometallic acids.
2841.30,Sodium dichromate
2841.30.00,Sodium dichromate
2841.50,- Other chromates and dichromates; peroxochromates
2841.50.10,Sodium chromates
2841.50.90,"Other <br> Manganites, manganates and permanganates:"
2841.61,potassium permanganate
2841.61.00,Potassium permanganate
2841.69,Other
2841.69.00,Other
2841.70,Molybdates
2841.70.10,Aluminium molybdate
2841.70.20,Sodium molybdate
2841.70.90,Other
2841.80,Tungstates (wolframates)
2841.80.10,Sodium tungstate
2841.80.20,Magnesium tungstate
2841.80.90,Other
2841.90,Other
2841.90.00,Other
2842,"aluminosilicates whether or not chemically defined), other than"
2842.90,Other
2842.90.10,Arsenites and arsenates
2842.90.20,Bichromates and dichromates
2842.90.90,Other
2843,"precious metals, whether or not chemically defined; amalgams of"
2843.10,Colloidal precious metals
2843.10.10,Of gold
2843.10.20,Of silver
2843.10.90,Other <br> Silver compounds:
2843.21,Silver nitrate
2843.21.00,Silver nitrate
2843.29,Other
2843.29.00,Other
2843.30,gold compounds
2843.30.00,Gold compounds
2843.90,Other compounds; amalgams <br> Other compounds:
2843.90.11,Sodium aurous thiosulphate
2843.90.12,"Noble metallutions of platinum, rhodium and palladinium"
2843.90.19,Other
2843.90.20,Amalgams
2844,the fissile or fertile chemical elements and isotopes) and their
2844.10,"cermets), ceramic products and mixtures containing natural uranium"
2844.10.00,"cermets), ceramic products and mixtures containing natural uranium or"
2844.30.10,wrought and compounds thereof <br> Compounds of thorium or of
2844.30.21,Thorium oxide
2844.30.22,Thorium hydroxide
2844.30.23,Thorium nitrate
2844.30.29,Other
2844.30.30,Waste and scrap of uranium depleted in U235 or of thorium
2844.30.90,Other
2844.50,Spent (irradiated) fuel elements (Cartridges) of nuclear reactors
2844.50.00,Spent (irradiated) fuel elements (cartridges) of nuclear reactors
2845.10,Heavy water (deuterium oxide)
2845.10.00,Heavy water (deuterium oxide)
2845.90,Other
2845.90.10,Nuclear fuels not elsewhere included or specified
2845.90.90,Other
2846.10,Cerium compounds
2846.10.10,Cerium oxides
2846.10.90,Other
2846.90,Other
2846.90.10,Rare earth oxides not elsewhere included or specified
2846.90.20,Rare earth fluorides not elsewhere included or specified
2846.90.30,Rare earth chlorides not elsewhere included or specified
2846.90.90,Other
2847,"Hydrogen peroxide, whether or not solidified with urea."
2847.00,"Hydrogen peroxide, whether or not solidified with urea."
2847.00.00,"Hydrogen peroxide, whether or not solidified with urea"
2848.00.10,Omitted
2848.00.20,Omitted
2848.00.90,Omitted
2849,"Carbides, whether or not chemically defined."
2849.10,of Calcium
2849.10.00,Of calcium
2849.20,of Silicon
2849.20.10,Carborandum
2849.20.90,Other
2849.90,Other
2849.90.10,Boron carbide
2849.90.20,Tungsten carbide
2849.90.90,Other
2850,"chemically defined, other than compounds which are also carbides"
2850.00,"chemically defined, other than compounds which are also carbides"
2850.00.10,Hydrides
2850.00.20,Nitrides
2850.00.30,Azides <br> Silicides:
2850.00.41,Of calcium
2850.00.49,Other
2850.00.50,Borides
2852.1000,Chemically defined
2852.9000,Other
28531000,Cyanogen chloride (chlorcyan)
285390,Other:
28539010,Distilled or conductivity water and water of similar purity
28539020,"Liquid air, whether or not rare gases have been removed"
28539030,Compressed air
28539040,"Amalgams, other than of precious metals"
28539090,Other
2901,Acyclic hydrocarbons.
2901.10,Saturated
2901.10.00,Saturated <br> unsaturated
